gene_name	human_gene_id	human_protein_ids	OG_N0	pike_gene_id	salmon_gene_id	ratio	interacting_genes
EGFR	ENSG00000146648	P00533	OG6v0001342.53	ENSELUG00000024112	ENSSSAG00000067891,ENSSSAG00000003786	1:1:2	ENSG00000003056,ENSG00000005961,ENSG00000020129,ENSG00000027001,ENSG00000044115,ENSG00000047249,ENSG00000059691,ENSG00000071537,ENSG00000073536,ENSG00000073614,ENSG00000074266,ENSG00000076513,ENSG00000078061,ENSG00000085832,ENSG00000100485,ENSG00000100532,ENSG00000101019,ENSG00000101311,ENSG00000103168,ENSG00000104369,ENSG00000108963,ENSG00000111252,ENSG00000111845,ENSG00000115085,ENSG00000115904,ENSG00000123130,ENSG00000124882,ENSG00000127946,ENSG00000128833,ENSG00000130177,ENSG00000130402,ENSG00000131725,ENSG00000134109,ENSG00000134516,ENSG00000136158,ENSG00000136504,ENSG00000137055,ENSG00000138231,ENSG00000138592,ENSG00000138798,ENSG00000139263,ENSG00000140575,ENSG00000144749,ENSG00000145623,ENSG00000150093,ENSG00000154473,ENSG00000154485,ENSG00000154734,ENSG00000155858,ENSG00000157881,ENSG00000158092,ENSG00000160255,ENSG00000160293,ENSG00000162434,ENSG00000163638,ENSG00000163697,ENSG00000164654,ENSG00000167965,ENSG00000168036,ENSG00000172409,ENSG00000173801,ENSG00000183918,ENSG00000196305,ENSG00000196396,ENSG00000196455,ENSG00000197601,ENSG00000198087,ENSG00000198730,ENSG00000204560,ENSG00000204950,ENSG00000242028,ENSG00000274523
TCF4	ENSG00000196628	P15884	OG6v0007056.28	ENSELUG00000015197	ENSSSAG00000113835,ENSSSAG00000071044	1:1:2	ENSG00000059728,ENSG00000105698,ENSG00000105967,ENSG00000113196,ENSG00000115738,ENSG00000117318,ENSG00000118526,ENSG00000122180,ENSG00000122859,ENSG00000123307,ENSG00000123933,ENSG00000139352,ENSG00000146618,ENSG00000151379,ENSG00000162367,ENSG00000163792,ENSG00000164107,ENSG00000164600,ENSG00000168267,ENSG00000168874,ENSG00000171532,ENSG00000172201,ENSG00000172238,ENSG00000173801,ENSG00000178860,ENSG00000180535,ENSG00000181965,ENSG00000183733,ENSG00000184162,ENSG00000186051,ENSG00000213347,ENSG00000233608,ENSG00000260428,ENSG00000261787
SQSTM1	ENSG00000161011	Q13501	OG6v0007465.29	ENSELUG00000021590	ENSSSAG00000073443,ENSSSAG00000076115	1:1:2	ENSG00000006282,ENSG00000023287,ENSG00000034693,ENSG00000034713,ENSG00000061938,ENSG00000067606,ENSG00000079999,ENSG00000084754,ENSG00000101255,ENSG00000104365,ENSG00000105053,ENSG00000106617,ENSG00000113851,ENSG00000116698,ENSG00000130305,ENSG00000130766,ENSG00000132017,ENSG00000134109,ENSG00000136542,ENSG00000136807,ENSG00000137764,ENSG00000146021,ENSG00000159131,ENSG00000162063,ENSG00000163389,ENSG00000163558,ENSG00000169967,ENSG00000172046,ENSG00000172175,ENSG00000183508,ENSG00000197157,ENSG00000198909,ENSG00000198929,ENSG00000213585
CCNF	ENSG00000162063	P41002	OG6v0008566.27	ENSELUG00000000550	ENSSSAG00000038367,ENSSSAG00000047410	1:1:2	ENSG00000006607,ENSG00000058272,ENSG00000065000,ENSG00000070018,ENSG00000077514,ENSG00000100888,ENSG00000103540,ENSG00000106211,ENSG00000108588,ENSG00000110075,ENSG00000111276,ENSG00000116830,ENSG00000121152,ENSG00000124789,ENSG00000125459,ENSG00000131269,ENSG00000134014,ENSG00000141456,ENSG00000143569,ENSG00000143702,ENSG00000156650,ENSG00000159267,ENSG00000160688,ENSG00000161011,ENSG00000162813,ENSG00000163110,ENSG00000168256,ENSG00000170860,ENSG00000177425,ENSG00000185728,ENSG00000187634,ENSG00000196504,ENSG00000204574
SEC61B	ENSG00000106803	P60468	OG6v0009561.27	ENSELUG00000008775	ENSSSAG00000003446,ENSSSAG00000038744	1:1:2	ENSG00000008952,ENSG00000025796,ENSG00000059769,ENSG00000084073,ENSG00000087111,ENSG00000101856,ENSG00000105677,ENSG00000125912,ENSG00000126777,ENSG00000127022,ENSG00000127184,ENSG00000129636,ENSG00000134109,ENSG00000134910,ENSG00000136770,ENSG00000143183,ENSG00000145354,ENSG00000150093,ENSG00000156642,ENSG00000158669,ENSG00000162236,ENSG00000163933,ENSG00000164180,ENSG00000166479,ENSG00000168818,ENSG00000169446,ENSG00000172270,ENSG00000174106,ENSG00000180879,ENSG00000228474,ENSG00000265808
CDC5L	ENSG00000096401	Q99459	OG6v0004438.35	ENSELUG00000013492	ENSSSAG00000002525,ENSSSAG00000005830	1:1:2	ENSG00000018610,ENSG00000060688,ENSG00000076924,ENSG00000082068,ENSG00000091732,ENSG00000099995,ENSG00000100056,ENSG00000100603,ENSG00000101161,ENSG00000101343,ENSG00000105248,ENSG00000114346,ENSG00000116752,ENSG00000117614,ENSG00000117751,ENSG00000127993,ENSG00000138398,ENSG00000140259,ENSG00000140829,ENSG00000143751,ENSG00000163510,ENSG00000163605,ENSG00000163877,ENSG00000164609,ENSG00000165934,ENSG00000168438,ENSG00000171566,ENSG00000174780,ENSG00000204560
KDM1A	ENSG00000004487	O60341	OG6v0006788.28	ENSELUG00000014749	ENSSSAG00000008598,ENSSSAG00000002472	1:1:2	ENSG00000012048,ENSG00000058272,ENSG00000071243,ENSG00000083093,ENSG00000101412,ENSG00000105991,ENSG00000109787,ENSG00000111707,ENSG00000112333,ENSG00000116731,ENSG00000117625,ENSG00000122565,ENSG00000134899,ENSG00000142611,ENSG00000148516,ENSG00000149179,ENSG00000156650,ENSG00000156802,ENSG00000162367,ENSG00000163666,ENSG00000163935,ENSG00000166477,ENSG00000167771,ENSG00000169375,ENSG00000169554,ENSG00000169758,ENSG00000169925,ENSG00000175595,ENSG00000196220
MED1	ENSG00000125686	Q15648	OG6v0013851.21	ENSELUG00000006631	ENSSSAG00000046248	1:1:1	ENSG00000008838,ENSG00000025434,ENSG00000042429,ENSG00000073536,ENSG00000084754,ENSG00000101076,ENSG00000108590,ENSG00000109670,ENSG00000109819,ENSG00000112033,ENSG00000112237,ENSG00000113580,ENSG00000115216,ENSG00000132170,ENSG00000134480,ENSG00000136146,ENSG00000136807,ENSG00000136878,ENSG00000137947,ENSG00000140396,ENSG00000147044,ENSG00000151090,ENSG00000163659,ENSG00000164749,ENSG00000167258,ENSG00000186951,ENSG00000188487,ENSG00000196482,ENSG00000198677
CTNNB1	ENSG00000168036	P35222	OG6v0004436.35	ENSELUG00000001202	ENSSSAG00000108396,ENSSSAG00000091484	1:1:2	ENSG00000044115,ENSG00000066032,ENSG00000081138,ENSG00000118689,ENSG00000129910,ENSG00000133961,ENSG00000134371,ENSG00000137693,ENSG00000140937,ENSG00000146648,ENSG00000149654,ENSG00000152104,ENSG00000152284,ENSG00000154162,ENSG00000165731,ENSG00000168646,ENSG00000170558,ENSG00000171056,ENSG00000172977,ENSG00000173801,ENSG00000179242,ENSG00000184481,ENSG00000185591,ENSG00000187098,ENSG00000196781,ENSG00000197555,ENSG00000198728
VAMP4	ENSG00000117533	O75379	OG6v0009431.27	ENSELUG00000007067	ENSSSAG00000054312,ENSSSAG00000054845	1:1:2	ENSG00000003056,ENSG00000076944,ENSG00000092108,ENSG00000092531,ENSG00000099365,ENSG00000099940,ENSG00000100568,ENSG00000105518,ENSG00000105829,ENSG00000113734,ENSG00000116266,ENSG00000118640,ENSG00000124098,ENSG00000124222,ENSG00000132639,ENSG00000136631,ENSG00000136854,ENSG00000141699,ENSG00000143952,ENSG00000147654,ENSG00000148335,ENSG00000148344,ENSG00000167306,ENSG00000168818,ENSG00000170310,ENSG00000204070,ENSG00000213593
